Age,Purchase_Amount,Year,Month,Day,Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_Mexico,Country_UK,Country_USA,Payment_Method_Cash on Delivery,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_PayPal,Payment_Method_UPI,Product_Category_Label
58,404.6,2023,5,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
55,713.29,2023,6,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
28,774.7,2024,7,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6
21,838.22,2024,11,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
39,51.94,2024,4,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
43,531.22,2023,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
36,454.08,2023,9,15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
55,911.02,2023,3,28,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
18,381.67,2023,5,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8
19,518.82,2024,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8
30,161.22,2024,8,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
51,790.2,2023,11,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6
42,585.24,2024,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
63,216.99,2023,10,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7
41,597.62,2023,3,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
21,474.1,2024,10,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
53,282.92,2023,10,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
50,452.37,2024,12,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
60,872.01,2025,1,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
55,883.32,2023,5,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,324.65,2023,8,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
58,85.48,2023,12,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
68,492.68,2023,5,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4
22,929.36,2024,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
42,617.71,2023,3,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19,722.07,2023,6,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
45,281.29,2024,4,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6
20,189.64,2023,8,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
34,979.96,2023,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
32,242.3,2023,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7
63,986.15,2023,3,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8
26,331.66,2023,8,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
32,826.63,2025,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
59,737.31,2024,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
30,638.3,2023,8,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8
43,266.4,2023,11,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
20,870.42,2023,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7
45,409.59,2024,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
20,128.23,2023,11,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
42,232.52,2025,2,24,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
18,554.02,2023,3,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8
68,783.95,2024,10,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
68,453.69,2024,9,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6
53,745.56,2023,3,26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
18,269.38,2024,2,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
63,264.13,2024,12,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
44,238.88,2023,4,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
50,24.19,2024,2,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7
63,221.52,2024,11,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7
30,376.04,2024,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
29,367.17,2023,7,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
40,695.27,2023,5,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5
49,18.87,2023,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6
22,673.38,2023,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
56,412.67,2024,3,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
37,402.94,2024,10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28,521.8,2024,4,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5
58,669.44,2024,1,26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
31,22.1,2023,9,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7
70,943.83,2024,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
69,704.6,2023,3,28,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6
33,181.73,2024,12,27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
21,999.57,2024,1,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6
48,91.37,2023,5,30,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
46,404.44,2024,7,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
64,12.22,2023,9,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8
46,98.81,2023,10,29,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4
56,478.1,2024,9,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
69,353.67,2024,11,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
57,604.38,2023,12,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
55,148.28,2023,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
42,341.89,2024,3,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6
22,265.78,2024,2,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
36,218.01,2023,10,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
43,682.79,2023,11,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
61,545.03,2023,7,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
67,995.04,2023,10,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
22,975.83,2024,3,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7
37,155.21,2024,9,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
67,998.53,2024,1,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
42,539.95,2024,4,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
18,437.82,2025,2,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
44,565.63,2024,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
38,904.43,2024,9,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
59,324.34,2024,11,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7
65,929.85,2023,7,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
31,367.18,2023,10,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
19,641.24,2023,8,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
59,861.59,2024,2,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
58,7.09,2024,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
26,324.5,2023,4,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
28,692.65,2024,10,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
37,734.62,2023,10,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8
56,386.71,2024,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
49,18.69,2024,10,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
20,371.97,2025,2,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8
56,994.23,2024,5,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
38,786.5,2023,10,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
68,33.35,2024,12,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
63,47.33,2024,8,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
39,249.17,2024,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
38,272.75,2023,11,26,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
38,165.8,2023,8,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8
42,96.84,2024,5,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
70,994.87,2023,12,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
61,525.11,2024,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
23,527.62,2023,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
65,832.36,2023,9,21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
66,459.06,2025,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
49,94.49,2023,12,22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5
27,360.36,2024,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
47,761.36,2024,12,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
24,402.56,2023,11,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
68,316.1,2024,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
55,677.68,2023,9,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
41,992.4,2023,12,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
49,235.76,2024,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
19,271.2,2023,12,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
52,476.71,2023,11,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
36,58.88,2024,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8
39,423.82,2024,6,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
38,684.22,2023,7,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7
56,356.33,2024,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7
34,613.15,2024,9,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5
27,574.97,2025,1,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6
57,90.98,2024,12,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6
52,878.12,2023,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6
48,567.73,2025,2,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
67,73.24,2023,7,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
18,318.46,2024,11,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7
41,746.73,2024,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
57,513.69,2023,3,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
44,902.69,2024,10,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7
64,228.66,2023,7,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
43,701.4,2023,9,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
39,581.27,2024,3,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
29,625.96,2025,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
70,548.43,2024,8,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4
31,416.04,2023,8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
67,321.23,2024,8,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
58,971.06,2024,2,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8
41,471.26,2023,10,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
52,580.98,2024,11,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
19,300.4,2025,2,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
51,134.17,2024,5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44,189.17,2024,4,26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
45,674.91,2024,7,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6
62,856.8,2024,8,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
52,997.45,2023,3,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6
43,836.15,2023,3,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
20,247.06,2023,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
68,643.7,2024,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
22,154.34,2023,7,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
49,878.48,2024,4,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
21,806.66,2024,6,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
57,197.33,2023,12,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
69,657.08,2024,5,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8
51,32.54,2023,12,23,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
38,842.27,2025,3,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
69,178.45,2024,1,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
21,577.68,2025,2,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
33,477.62,2024,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
34,732.2,2023,11,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8
37,175.23,2024,12,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
66,725.59,2023,8,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
56,417.36,2024,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8
21,523.99,2025,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
50,199.23,2023,12,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6
60,783.75,2025,1,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
25,158.64,2025,2,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
64,293.55,2023,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
59,797.55,2024,8,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
31,738.72,2024,3,27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5
20,862.91,2024,5,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
58,112.81,2023,7,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
34,823.28,2025,2,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
32,224.05,2024,6,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
24,465.35,2024,8,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8
62,713.08,2024,3,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
29,556.38,2024,8,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
70,772.5,2023,11,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7
54,61.31,2024,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
40,476.1,2023,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
24,325.43,2023,10,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
33,362.81,2024,5,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7
57,285.59,2023,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7
55,243.34,2023,6,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8
45,565.87,2024,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
36,189.69,2024,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
63,75.34,2023,8,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
57,675.13,2023,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4
31,58.82,2024,1,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5
22,960.72,2023,10,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
61,970.0,2024,5,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
50,893.03,2023,6,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5
63,10.05,2023,12,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8
40,953.45,2024,7,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
64,623.4,2023,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8
68,815.31,2023,8,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6
48,575.09,2024,3,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
60,439.06,2024,6,21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
54,873.03,2023,5,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6
38,389.18,2024,10,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8
29,628.8,2024,6,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
54,896.92,2024,6,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
29,98.72,2025,2,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
55,668.4,2024,1,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
54,455.32,2024,5,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7
23,460.13,2023,11,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
70,999.78,2023,7,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
32,355.26,2024,3,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
28,483.59,2023,9,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
33,617.86,2024,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7
62,754.66,2023,12,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
47,570.5,2023,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4
36,70.95,2023,10,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
42,585.5,2024,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
52,422.7,2024,2,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
64,702.28,2024,3,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7
66,252.73,2025,2,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6
37,946.54,2024,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6
29,969.99,2025,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
59,283.13,2024,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
35,928.17,2023,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
58,177.9,2024,11,26,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
43,742.44,2024,9,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
70,135.45,2024,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
69,544.6,2024,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
24,581.66,2023,11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5
50,763.0,2023,3,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
30,190.5,2023,8,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
62,198.2,2024,8,25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
46,739.51,2023,9,21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
40,247.28,2023,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
26,179.25,2023,9,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
54,368.71,2024,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
65,824.34,2025,2,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,263.76,2023,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
45,970.68,2023,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8
68,496.38,2024,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
27,765.9,2025,2,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
51,567.26,2024,4,28,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
32,587.58,2024,1,29,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
42,222.16,2023,9,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
24,672.78,2024,2,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
18,852.28,2023,6,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
54,899.26,2024,10,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
30,835.43,2023,3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
22,654.56,2024,10,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
52,97.84,2025,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8
43,383.5,2025,2,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
36,689.94,2024,9,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6
25,804.63,2024,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
64,580.88,2024,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8
35,781.25,2024,3,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
47,409.0,2025,1,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
48,558.69,2023,5,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8
24,858.79,2023,6,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
56,195.53,2023,5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
43,550.07,2023,3,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
27,129.66,2024,7,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
59,74.14,2024,5,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8
51,213.49,2024,5,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
23,126.55,2024,9,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
64,958.35,2025,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7
60,334.92,2023,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4
28,953.86,2023,4,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
54,200.17,2024,2,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
61,608.88,2023,10,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
